,id,last10_ratio_cleanSheets_opp,last10_ratio_cleanSheets_own,last10_ratio_wins_opp,last10_ratio_wins_own,last3_assists,last3_goals,last3_ratio_points,last3_ycards,opp_team_rank,player_name,player_opp_name,player_position,player_team,player_team_name,player_team_rank,player_value,ratio_assists,ratio_attempted_passes,ratio_big_chancesCreated,ratio_big_chancesMiss,ratio_creativity,ratio_dribbles,ratio_fouls,ratio_goals_conceded_opp_team,ratio_goals_conceded_player_team,ratio_goals_opp_team,ratio_goals_player_team,ratio_goals_scored,ratio_key_passes,ratio_leading_goal,ratio_minutes_played,ratio_offsides,ratio_open_playcross,ratio_own_goals,ratio_penalties_conceded,ratio_penalties_missed,ratio_penalties_saved,ratio_points_lastSeason,ratio_saves,ratio_selection,ratio_tackles,ratio_threat,week_no,week_points
0,402,1.0,0.0,1.0,0.0,0,0,0.0,0,5.0,Aaron_Cresswell,Bournemouth,DEF,West Ham,West Ham,19.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1052631579,0.0,103396.0,0.0,0.0,2,0.0
1,402,0.0,0.0,0.0,0.0,0,0,0.0,0,9.0,Aaron_Cresswell,Arsenal,DEF,West Ham,West Ham,20.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1052631579,0.0,97364.5,0.0,0.0,3,0.0
2,402,0.0,0.0,0.0,0.0,0,0,0.0,0,11.0,Aaron_Cresswell,Wolves,DEF,West Ham,West Ham,20.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1052631579,0.0,88011.6666666667,0.0,0.0,4,1.0
3,402,0.0,0.0,0.25,0.0,0,0,0.3333333333,1,11.0,Aaron_Cresswell,Everton,DEF,West Ham,West Ham,16.0,53,0.0,11.75,0.0,0.0,6.9,0.0,0.25,2.5,2.5,1.75,0.5,0.0,0.5,0.0,22.5,0.0,0.25,0.0,0.0,0.0,0.0,3.1052631579,0.0,80430.0,0.0,0.0,5,0.0
4,402,0.4,0.0,1.0,0.2,0,0,0.3333333333,1,3.0,Aaron_Cresswell,Chelsea,DEF,West Ham,West Ham,17.0,53,0.0,9.4,0.0,0.0,5.52,0.0,0.2,2.2,2.2,2.8,1.0,0.0,0.4,0.0,18.0,0.0,0.2,0.0,0.0,0.0,0.0,3.1052631579,0.0,74741.4,0.0,0.0,6,0.0
5,402,0.1666666667,0.1666666667,0.5,0.1666666667,0,0,0.3333333333,1,10.0,Aaron_Cresswell,Man Utd,DEF,West Ham,West Ham,14.0,52,0.0,7.8333333333,0.0,0.0,4.6,0.0,0.1666666667,1.8333333333,1.8333333333,1.5,0.8333333333,0.0,0.3333333333,0.0,15.0,0.0,0.1666666667,0.0,0.0,0.0,0.0,3.1052631579,0.0,70264.6666666667,0.0,0.0,7,0.0
6,402,0.0,0.1428571429,0.1428571429,0.2857142857,0,0,0.0,0,13.0,Aaron_Cresswell,Brighton,DEF,West Ham,West Ham,15.0,52,0.0,6.7142857143,0.0,0.0,3.9428571429,0.0,0.1428571429,1.7142857143,1.7142857143,1.1428571429,1.1428571429,0.0,0.2857142857,0.0,12.8571428571,0.0,0.1428571429,0.0,0.0,0.0,0.0,3.1052631579,0.0,66623.1428571429,0.0,0.0,8,0.0
7,83,1.0,1.0,1.0,0.0,0,0,3.0,0,4.0,Aaron_Lennon,Watford,MID,Burnley,Burnley,15.0,50,0.0,22.0,0.0,1.0,12.3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7105263158,0.0,15138.0,2.0,17.0,2,2.0
8,83,0.0,0.5,0.0,0.0,0,0,2.5,0,12.0,Aaron_Lennon,Fulham,MID,Burnley,Burnley,18.0,50,0.0,19.5,0.0,0.5,7.3,0.0,0.5,1.5,1.5,0.5,0.5,0.0,0.0,0.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.7105263158,0.0,18115.0,1.0,11.5,3,2.0
9,83,0.0,0.3333333333,0.3333333333,0.0,0,0,2.3333333333,0,10.0,Aaron_Lennon,Man Utd,MID,Burnley,Burnley,19.0,50,0.0,17.6666666667,0.0,0.3333333333,8.6666666667,0.3333333333,0.6666666667,2.3333333333,2.3333333333,1.3333333333,1.0,0.0,0.3333333333,0.0,90.0,0.0,0.3333333333,0.0,0.0,0.0,0.0,1.7105263158,0.0,18939.6666666667,0.6666666667,9.0,4,2.0
