,assists,clean_sheets,draws,goals_against,goals_for,id,loses,own_goals,penalties_missed,penalties_saved,points,red_cards,saves,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,team_name,week_no,wins,yellow_cards,ranking
0,2,True,,0.0,2.0,2,,0,1,0,3,0,1,1120,1080,1170,1120,Bournemouth,1,True,1,3.0
1,0,,,2.0,0.0,5,True,0,0,1,0,0,1,1070,1010,1070,1000,Cardiff,1,,1,15.0
2,0,,,3.0,0.0,10,True,0,0,0,0,0,1,1060,1020,1020,980,Huddersfield,1,,2,19.0
3,3,True,,0.0,3.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,1,True,1,2.0
4,0,True,True,0.0,0.0,16,,0,0,0,1,0,1,1080,1030,1120,1070,Southampton,1,,0,9.0
5,0,True,True,0.0,0.0,4,,0,0,0,1,0,1,1150,1110,1090,1040,Burnley,1,,1,10.0
6,1,,,2.0,1.0,15,True,0,0,0,0,0,1,1110,1060,1090,1040,Newcastle,1,,2,13.0
7,2,,,1.0,2.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,1,True,2,7.0
8,0,,,2.0,0.0,1,True,0,0,0,0,0,1,1280,1230,1320,1270,Arsenal,1,,2,16.0
9,1,True,,0.0,2.0,13,,0,0,0,3,0,1,1320,1300,1350,1330,Man City,1,True,2,4.0
10,3,True,,0.0,4.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,1,True,1,1.0
11,0,,,4.0,0.0,19,True,0,0,0,0,0,1,1070,1030,1110,1080,West Ham,1,,2,20.0
12,2,,,1.0,2.0,14,,0,0,0,3,0,1,1300,1260,1310,1280,Man Utd,1,True,2,8.0
13,1,,,2.0,1.0,11,True,0,0,0,0,0,1,1180,1100,1140,1090,Leicester,1,,1,14.0
14,1,True,,0.0,2.0,18,,0,0,0,3,0,0,1190,1090,1150,1080,Watford,1,True,2,5.0
15,0,,,2.0,0.0,3,True,0,0,0,0,0,1,1070,1040,1100,1030,Brighton,1,,2,17.0
16,0,,,2.0,0.0,9,True,0,0,0,0,0,1,1060,1010,1090,1040,Fulham,1,,1,18.0
17,2,True,,0.0,2.0,7,,0,0,0,3,0,1,1100,1050,1110,1070,Crystal Palace,1,True,2,6.0
18,2,,True,2.0,2.0,20,,0,0,0,1,0,1,1120,1080,1090,1030,Wolves,1,,0,11.0
19,2,,True,2.0,2.0,8,,0,0,0,1,1,1,1110,1060,1130,1060,Everton,1,,1,12.0
20,1,True,,0.0,2.0,11,,0,0,0,3,1,1,1180,1100,1140,1090,Leicester,2,True,2,8.0
21,0,,,2.0,0.0,20,True,1,0,0,0,0,1,1120,1080,1090,1030,Wolves,2,,1,16.0
22,1,,,2.0,1.0,19,True,0,0,0,0,0,1,1070,1030,1110,1080,West Ham,2,,6,19.0
23,2,,,1.0,2.0,2,,0,0,0,3,0,1,1120,1080,1170,1120,Bournemouth,2,True,2,5.0
24,2,,,2.0,3.0,3,,0,0,0,3,0,1,1070,1040,1100,1030,Brighton,2,True,1,11.0
25,2,,,3.0,2.0,14,True,0,0,0,0,0,0,1300,1260,1310,1280,Man Utd,2,,1,9.0
26,2,,,1.0,2.0,8,,0,0,0,3,0,1,1110,1060,1130,1060,Everton,2,True,0,7.0
27,1,,,2.0,1.0,16,True,0,0,0,0,0,1,1080,1030,1120,1070,Southampton,2,,5,12.0
28,0,,,2.0,0.0,7,True,0,0,0,0,1,1,1100,1050,1110,1070,Crystal Palace,2,,1,10.0
29,1,True,,0.0,2.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,2,True,1,2.0
30,4,,,1.0,6.0,13,,0,0,0,3,0,0,1320,1300,1350,1330,Man City,2,True,0,1.0
31,1,,,6.0,1.0,10,True,1,0,0,0,0,1,1060,1020,1020,980,Huddersfield,2,,2,20.0
32,0,True,True,0.0,0.0,5,,0,0,1,1,0,1,1070,1010,1070,1000,Cardiff,2,,2,14.0
33,0,True,True,0.0,0.0,15,,0,1,0,1,1,0,1110,1060,1090,1040,Newcastle,2,,2,13.0
34,3,,,2.0,3.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,2,True,0,3.0
35,1,,,3.0,2.0,1,True,0,0,0,0,0,1,1280,1230,1320,1270,Arsenal,2,,2,17.0
36,2,,,1.0,3.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,2,True,0,6.0
37,1,,,3.0,1.0,9,True,0,0,0,0,0,1,1060,1010,1090,1040,Fulham,2,,0,18.0
38,1,,,3.0,1.0,4,True,0,0,0,0,0,1,1150,1110,1090,1040,Burnley,2,,1,15.0
39,2,,,1.0,3.0,18,,0,0,0,3,0,1,1190,1090,1150,1080,Watford,2,True,2,4.0
40,1,,True,2.0,2.0,2,,0,0,0,1,1,1,1120,1080,1170,1120,Bournemouth,3,,0,6.0
41,2,,True,2.0,2.0,8,,0,0,0,1,1,1,1110,1060,1130,1060,Everton,3,,3,8.0
42,0,,,2.0,1.0,16,True,0,0,0,0,1,1,1080,1030,1120,1070,Southampton,3,,1,16.0
43,2,,,1.0,2.0,11,,0,0,0,3,0,1,1180,1100,1140,1090,Leicester,3,True,1,7.0
44,1,,,2.0,1.0,15,True,1,0,0,0,0,1,1110,1060,1090,1040,Newcastle,3,,3,17.0
45,1,,,1.0,2.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,3,True,1,3.0
46,3,,,1.0,3.0,1,,0,0,0,3,0,1,1280,1230,1320,1270,Arsenal,3,True,1,9.0
47,1,,,3.0,1.0,19,True,1,0,0,0,0,1,1070,1030,1110,1080,West Ham,3,,3,20.0
48,0,,,3.0,0.0,14,True,0,0,0,0,0,1,1300,1260,1310,1280,Man Utd,3,,2,13.0
49,3,True,,0.0,3.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,3,True,3,2.0
50,3,,,2.0,4.0,9,,0,0,0,3,0,0,1060,1010,1090,1040,Fulham,3,True,2,12.0
51,1,,,4.0,2.0,4,True,0,0,0,0,0,1,1150,1110,1090,1040,Burnley,3,,1,18.0
52,1,,True,1.0,1.0,20,,0,0,0,1,0,1,1120,1080,1090,1030,Wolves,3,,1,15.0
53,1,,True,1.0,1.0,13,,0,0,0,1,0,1,1320,1300,1350,1330,Man City,3,,2,5.0
54,1,True,,0.0,1.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,3,True,1,1.0
55,0,,,1.0,0.0,3,True,0,0,0,0,0,1,1070,1040,1100,1030,Brighton,3,,1,11.0
56,0,True,True,0.0,0.0,10,,0,0,0,1,1,2,1060,1020,1020,980,Huddersfield,3,,0,19.0
57,0,True,True,0.0,0.0,5,,0,0,0,1,0,1,1070,1010,1070,1000,Cardiff,3,,1,14.0
58,2,,,1.0,2.0,18,,0,0,0,3,0,1,1190,1090,1150,1080,Watford,3,True,4,4.0
59,1,,,2.0,1.0,7,True,0,0,0,0,0,1,1100,1050,1110,1070,Crystal Palace,3,,2,10.0
60,2,True,,0.0,2.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,4,True,2,2.0
61,0,,,2.0,0.0,2,True,0,0,0,0,0,1,1120,1080,1170,1120,Bournemouth,4,,2,6.0
62,1,,True,1.0,1.0,8,,0,0,0,1,0,1,1110,1060,1130,1060,Everton,4,,3,8.0
63,1,,True,1.0,1.0,10,,0,0,0,1,0,0,1060,1020,1020,980,Huddersfield,4,,3,17.0
64,0,,,2.0,0.0,4,True,0,0,1,0,0,1,1150,1110,1090,1040,Burnley,4,,2,19.0
65,1,True,,0.0,2.0,14,,0,1,0,3,1,1,1300,1260,1310,1280,Man Utd,4,True,3,10.0
66,1,,True,2.0,2.0,3,,0,1,0,1,0,1,1070,1040,1100,1030,Brighton,4,,3,13.0
67,1,,True,2.0,2.0,9,,0,0,1,1,0,1,1060,1010,1090,1040,Fulham,4,,3,14.0
68,1,,,1.0,2.0,18,,1,0,0,3,0,1,1190,1090,1150,1080,Watford,4,True,2,3.0
69,1,,,2.0,1.0,17,True,0,0,0,0,0,1,1300,1280,1330,1310,Spurs,4,,1,5.0
70,2,,,3.0,2.0,5,True,0,0,0,0,0,1,1070,1010,1070,1000,Cardiff,4,,3,16.0
71,3,,,2.0,3.0,1,,0,0,0,3,0,1,1280,1230,1320,1270,Arsenal,4,True,4,9.0
72,1,,,2.0,1.0,11,True,0,0,0,0,0,1,1180,1100,1140,1090,Leicester,4,,3,7.0
